"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,hasta_bilgileri,,text,kayıt_no,,,,,,,,,,,,," @HIDDEN"
eski_hasta_id,hasta_bilgileri,,text,"Eski Hasta No",,,,,,,,,,,,," @HIDDEN"
merkez_id,hasta_bilgileri,,text,"Merkez ID",,,,,,,,,,,,," @HIDDEN"
saving_user,hasta_bilgileri,,text,"Kayıt yapan kullanıcı",,,,,,,,,,,,," @USERNAME @READONLY @HIDDEN"
hasta_kayit_tarihi,hasta_bilgileri,,text,"Kayıt Tarihi",,,date_dmy,,,,,y,,,,,
hasta_no,hasta_bilgileri,,text,"Hasta Numarası",,,,,,,,y,,,,,
hasta_ad,hasta_bilgileri,,text,Adı,,"Lütfen adın ilk iki harfini yazınız",,,,,,y,,,,,
hasta_gobek_ad,hasta_bilgileri,,text,"Göbek Adı",,,,,,,,,,,,,
hasta_soyad,hasta_bilgileri,,text,Soyad,,"Lütfen soyadın ilk iki harfini yazınız",,,,,,y,,,,,
hasta_baba_ad,hasta_bilgileri,,text,"Baba Adı",,"Lütfen sadece ilk 2 harfini yazınız",,,,,,y,,,,,
center,hasta_bilgileri,,dropdown,"Katılımcı Merkez","10, Acıbadem Altunizade- LT | 11, DrEskicorapci | 12, Acıbadem KADIKOY -  LT | 13, Acıbadem KADIKOY - Narter | 14, Adana Çukurova Üniversitesi Vİ | 42, Adana Çukurova Üniversitesi YB | 15, Ankara Onkoloji Hastanesi | 16, Ankara Universitesi | 17, Manisa Celal Bayar Üniversitesi | 18, Cerrahpaşa Üniveristesi - ÇD | 40, Cerrahpaşa Üniveristesi - AE | 41, Cerrahpaşa Üniversitesi - BO | 19, Dokuz Eylul Universitesi - GA | 20, Dokuz Eylul Universitesi - OB | 21, DrAslan | 22, DrCagCal | 23, Ege Universitesi | 24, Gazi Üniversitesi | 25, Hacettepe Üniversitesi | 26, Haydarpasa Numune | 27, İstanbul EAH - GT | 28, İstanbul EAH - UY | 29, Izmir Bozyaka EAH | 46, DrDenizBolat | 30, İzmir Tepecik EAH | 31, Kocaeli Derince EAH | 49, Kocaeli Sehir H. DrCebeci | 51, Losante Hastanesi DrBugra | 32, Marmara Üniversitesi - IT | 33, Marmara Üniversitesi - LT | 34, Mersin Üniversitesi | 35, Mugla Sıtkı Kocman Universitesi | 43, Ordu Üniversitesi, Dr EB | 36, Rize Recep Tayyip Erd. Üniversitesi | 37, Tekirdağ Namık Kemal Üniversitesi | 38, DrTinay | 39, DrEnder Ozden -OMU | 99, CROTURK | 45, Marmara Üniversitesi - BS | 47, Marmara Universitesi - KC | 66, KocUni_AEC | 62, KocUni_YK | 63, KocUni_OA | 64, KocUni_TE | 65, KocUni_OS | 67, Bozyaka EAH | 68, Ankara Sehir Hastanesi_NK, | 69, Marmara_Üniversitesi_YS | 70, DrMuratGulsen_OMU | 71, OMU_genel","Ocak 2021 TAO",autocomplete,,,,,y,,,,,
hasta_yasadigi_sehir,hasta_bilgileri,,dropdown,"Yaşadığı şehir","1, Adana|2, Adıyaman|3, Afyonkarahisar|4, Ağrı|5, Amasya|6, Ankara|7, Antalya|8, Artvin|9, Aydın|10, Balıkesir|11, Bilecik|12, Bingöl|13, Bitlis|14, Bolu|15, Burdur|16, Bursa|17, Çanakkale|18, Çankırı|19, Çorum|20, Denizli|21, Diyarbakır|22, Edirne|23, Elazığ|24, Erzincan|25, Erzurum|26, Eskişehir|27, Gaziantep|28, Giresun|29, Gümüşhane|30, Hakkari|31, Hatay|32, Isparta|33, Mersin|34, İstanbul|35, İzmir|36, Kars|37, Kastamonu|38, Kayseri|39, Kırklareli|40, Kırşehir|41, Kocaeli|42, Konya|43, Kütahya|44, Malatya|45, Manisa|46, Kahramanmaraş|47, Mardin|48, Muğla|49, Muş|50, Nevşehir|51, Niğde|52, Ordu|53, Rize|54, Sakarya|55, Samsun|56, Siirt|57, Sinop|58, Sivas|59, Tekirdağ|60, Tokat|61, Trabzon|62, Tunceli|63, Şanlıurfa|64, Uşak|65, Van|66, Yozgat|67, Zonguldak|68, Aksaray|69, Bayburt|70, Karaman|71, Kırıkkale|72, Batman|73, Şırnak|74, Bartın|75, Ardahan|76, Iğdır|77, Yalova|78, Karabük|79, Kilis|80, Osmaniye|81, Düzce|999, KKTC|0, Yurt Dışı",,autocomplete,,,,,y,,,,,
hasta_dogum_tarihi,hasta_bilgileri,,text,"Doğum Tarihi",,,date_dmy,,,,,y,,,,,
patient_identifier,hasta_bilgileri,,text,"Hasta Tanımlayıcısı",,,,,,,,y,,,,,
hasta_dogum_yeri,hasta_bilgileri,,text,"Doğum Yeri",,,,,,,,,,,,,
hasta_egitim_durumu,hasta_bilgileri,,radio,"Eğitim Durumu","1, Bilinmiyor|2, İlkokul|3, Ortaokul|4, Yüksekokul-Üniversite|5, Master-Doktora",,,,,,,,,,,,
hasta_meslek,hasta_bilgileri,,text,Meslek,,,,,,,,,,,,,
hasta_medeni_durum,hasta_bilgileri,,radio,"Medeni Durum","1, Evli|2, Bekar|3, Dul",,,,,,,,,,,,
hasta_cocuk_sayisi,hasta_bilgileri,,text,"Çocuk Sayısı ",,,integer,1,,,,,,,,,
hasta_boy,hasta_bilgileri,,text,Boy(cm),,,integer,75,230,,,,,,,,
hasta_kilo,hasta_bilgileri,,text,"Kilo (kg)",,,integer,30,200,,,,,,,,
